"","domain","BA_hat","BA","sample_size","model"
"47675","C",37.3254439978888,37.3974311713912,"32","area_eblup"
"47676","D",57.8316191378561,57.3637802690845,"32","area_eblup"
"47677","E",59.8334238460215,59.5110616250196,"32","area_eblup"
"47678","F",78.1509645413509,78.6226240069573,"32","area_eblup"
"47679","G",65.0415213849302,67.0435767712799,"32","area_eblup"
"47680","H",51.094645415539,49.6500997828831,"32","area_eblup"
"47681","A",45.5304854863285,45.5597646993401,"32","area_eblup"
"47682","B",65.1124448961704,65.1658741408031,"32","area_eblup"
"47683","C",36.4268339863744,37.3974311713912,"32","area_eblup"
"47684","D",57.4921232759688,57.3637802690845,"32","area_eblup"
"47685","E",59.6384123359893,59.5110616250196,"32","area_eblup"
"47686","F",78.4516365994629,78.6226240069573,"32","area_eblup"
"47687","G",66.4701061280977,67.0435767712799,"32","area_eblup"
"47688","H",50.5074312097199,49.6500997828831,"32","area_eblup"
"47689","A",46.7888897513225,45.5597646993401,"32","area_eblup"
"47690","B",64.4239732267605,65.1658741408031,"32","area_eblup"
"47691","C",38.0359570748971,37.3974311713912,"32","area_eblup"
"47692","D",57.632977748749,57.3637802690845,"32","area_eblup"
"47693","E",61.6788806668147,59.5110616250196,"32","area_eblup"
"47694","F",78.8422450056173,78.6226240069573,"32","area_eblup"
"47695","G",65.1346479902197,67.0435767712799,"32","area_eblup"
"47696","H",49.0702677844498,49.6500997828831,"32","area_eblup"
"47697","A",45.5144707595195,45.5597646993401,"32","area_eblup"
"47698","B",65.9006340965331,65.1658741408031,"32","area_eblup"
"47699","C",37.1777481006622,37.3974311713912,"32","area_eblup"
"47700","D",57.6630161289438,57.3637802690845,"32","area_eblup"
"47701","E",58.7204070239892,59.5110616250196,"32","area_eblup"
"47702","F",78.5288310724835,78.6226240069573,"32","area_eblup"
"47703","G",66.6040483435916,67.0435767712799,"32","area_eblup"
"47704","H",49.4718291232736,49.6500997828831,"32","area_eblup"
"47705","A",46.8044182565329,45.5597646993401,"32","area_eblup"
"47706","B",63.6160460730358,65.1658741408031,"32","area_eblup"
"47707","C",37.8660941879771,37.3974311713912,"32","area_eblup"
