"","domain","BA_hat","BA","model","sample_size"
"1","M333Aa",78.0295490908738,79.4154082554791,"rf",100
"2","M333Ab",107.931874459732,112.523482757723,"rf",100
"3","M333Ac",76.3340554016258,72.0588242700207,"rf",100
"4","M333Ad",112.435733294813,117.470592984026,"rf",100
"5","M333Ae",71.0241115101416,68.4801681671984,"rf",100
"6","M333Ag",79.3685209884009,81.2086165291663,"rf",100
"7","M333Ah",40.8265078705348,37.3880839806109,"rf",100
"8","M333Ai",41.5830747036022,37.3465107555587,"rf",100
"9","M333Aa",80.4837935677584,79.4154082554791,"rf",100
"10","M333Ab",113.855596569025,112.523482757723,"rf",100
"11","M333Ac",76.9439033969547,72.0588242700207,"rf",100
"12","M333Ad",119.479441755037,117.470592984026,"rf",100
"13","M333Ae",70.9158886775508,68.4801681671984,"rf",100
"14","M333Ag",80.134929394847,81.2086165291663,"rf",100
"15","M333Ah",38.4436729084944,37.3880839806109,"rf",100
"16","M333Ai",39.3338380214537,37.3465107555587,"rf",100
"17","M333Aa",81.4168073951102,79.4154082554791,"rf",100
"18","M333Ab",111.344166756191,112.523482757723,"rf",100
"19","M333Ac",76.4373987256802,72.0588242700207,"rf",100
"20","M333Ad",120.275935154883,117.470592984026,"rf",100
"21","M333Ae",70.8273327927668,68.4801681671984,"rf",100
"22","M333Ag",81.0790446052408,81.2086165291663,"rf",100
"23","M333Ah",37.5057029529717,37.3880839806109,"rf",100
"24","M333Ai",40.3221022116963,37.3465107555587,"rf",100
"25","M333Aa",77.0603755351139,79.4154082554791,"rf",100
"26","M333Ab",109.482528105122,112.523482757723,"rf",100
"27","M333Ac",71.0821793338862,72.0588242700207,"rf",100
"28","M333Ad",112.319292026319,117.470592984026,"rf",100
"29","M333Ae",67.1626898254865,68.4801681671984,"rf",100
"30","M333Ag",76.2719281791342,81.2086165291663,"rf",100
"31","M333Ah",34.21567418737,37.3880839806109,"rf",100
"32","M333Ai",36.5737287565389,37.3465107555587,"rf",100
"33","M333Aa",79.5014927043955,79.4154082554791,"rf",100
"34","M333Ab",107.559867195704,112.523482757723,"rf",100
"35","M333Ac",79.1717897299885,72.0588242700207,"rf",100
"36","M333Ad",119.040056406849,117.470592984026,"rf",100
"37","M333Ae",69.6774057850018,68.4801681671984,"rf",100
"38","M333Ag",78.5933642726795,81.2086165291663,"rf",100
"39","M333Ah",37.3365832523331,37.3880839806109,"rf",100
"40","M333Ai",39.3181762650833,37.3465107555587,"rf",100
"41","M333Aa",79.8006939874645,79.4154082554791,"rf",100
"42","M333Ab",111.047408885565,112.523482757723,"rf",100
"43","M333Ac",74.733042358804,72.0588242700207,"rf",100
"44","M333Ad",115.42236306321,117.470592984026,"rf",100
"45","M333Ae",70.4949204895625,68.4801681671984,"rf",100
"46","M333Ag",78.709785602608,81.2086165291663,"rf",100
"47","M333Ah",37.0518299197194,37.3880839806109,"rf",100
"48","M333Ai",41.2261770626469,37.3465107555587,"rf",100
"49","M333Aa",81.84103022946,79.4154082554791,"rf",100
"50","M333Ab",113.90764750994,112.523482757723,"rf",100
"51","M333Ac",73.8673982001406,72.0588242700207,"rf",100
"52","M333Ad",115.718809380169,117.470592984026,"rf",100
"53","M333Ae",71.5116806785509,68.4801681671984,"rf",100
"54","M333Ag",80.3232482560901,81.2086165291663,"rf",100
"55","M333Ah",39.826073506535,37.3880839806109,"rf",100
"56","M333Ai",41.5118386429147,37.3465107555587,"rf",100
"57","M333Aa",80.5972072031198,79.4154082554791,"rf",100
"58","M333Ab",107.550135258957,112.523482757723,"rf",100
"59","M333Ac",76.4048285754413,72.0588242700207,"rf",100
"60","M333Ad",116.723927516371,117.470592984026,"rf",100
"61","M333Ae",70.2715912925998,68.4801681671984,"rf",100
"62","M333Ag",77.0538072782721,81.2086165291663,"rf",100
"63","M333Ah",39.1108708913038,37.3880839806109,"rf",100
"64","M333Ai",41.7848285564674,37.3465107555587,"rf",100
"65","M333Aa",81.7797440137447,79.4154082554791,"rf",100
"66","M333Ab",113.01600391771,112.523482757723,"rf",100
"67","M333Ac",76.874842420972,72.0588242700207,"rf",100
"68","M333Ad",117.376322183557,117.470592984026,"rf",100
"69","M333Ae",72.6030310088932,68.4801681671984,"rf",100
"70","M333Ag",80.6860805215453,81.2086165291663,"rf",100
"71","M333Ah",41.3167355127513,37.3880839806109,"rf",100
"72","M333Ai",42.4644413837474,37.3465107555587,"rf",100
"73","M333Aa",78.5699679910317,79.4154082554791,"rf",100
"74","M333Ab",107.248593683458,112.523482757723,"rf",100
"75","M333Ac",75.4214054842735,72.0588242700207,"rf",100
"76","M333Ad",113.685901191878,117.470592984026,"rf",100
"77","M333Ae",70.0629204049263,68.4801681671984,"rf",100
"78","M333Ag",78.1603518653982,81.2086165291663,"rf",100
"79","M333Ah",39.7044063390772,37.3880839806109,"rf",100
"80","M333Ai",41.3804536408712,37.3465107555587,"rf",100
"81","M333Aa",76.6972771408469,79.4154082554791,"rf",100
"82","M333Ab",106.266282720021,112.523482757723,"rf",100
"83","M333Ac",72.7419175213725,72.0588242700207,"rf",100
"84","M333Ad",111.949361040235,117.470592984026,"rf",100
"85","M333Ae",68.1242557643516,68.4801681671984,"rf",100
"86","M333Ag",76.6321513572256,81.2086165291663,"rf",100
"87","M333Ah",35.1811253668633,37.3880839806109,"rf",100
"88","M333Ai",39.1666894944861,37.3465107555587,"rf",100
"89","M333Aa",79.6214390515771,79.4154082554791,"rf",100
"90","M333Ab",112.174180796887,112.523482757723,"rf",100
"91","M333Ac",75.6136559693126,72.0588242700207,"rf",100
"92","M333Ad",114.493468078225,117.470592984026,"rf",100
"93","M333Ae",70.3921384244828,68.4801681671984,"rf",100
"94","M333Ag",78.7084855070812,81.2086165291663,"rf",100
"95","M333Ah",38.8420947804679,37.3880839806109,"rf",100
"96","M333Ai",40.0846758937963,37.3465107555587,"rf",100
"97","M333Aa",80.8960282446495,79.4154082554791,"rf",100
"98","M333Ab",113.936176182176,112.523482757723,"rf",100
"99","M333Ac",75.2066310805587,72.0588242700207,"rf",100
"100","M333Ad",118.849662279344,117.470592984026,"rf",100
"101","M333Ae",69.1045621945017,68.4801681671984,"rf",100
"102","M333Ag",77.024828231587,81.2086165291663,"rf",100
