"","domain","BA_hat","BA","model","sample_size"
"7688","M333Ai",45.6681093849087,37.3465107555587,"rf",30
"7689","M333Aa",76.7789935318214,79.4154082554791,"rf",30
"7690","M333Ab",110.798671797349,112.523482757723,"rf",30
"7691","M333Ac",73.5079511370575,72.0588242700207,"rf",30
"7692","M333Ad",113.701389626798,117.470592984026,"rf",30
"7693","M333Ae",67.0525066967792,68.4801681671984,"rf",30
"7694","M333Ag",76.4032299936948,81.2086165291663,"rf",30
"7695","M333Ah",36.6937486951982,37.3880839806109,"rf",30
"7696","M333Ai",38.6293009711939,37.3465107555587,"rf",30
"7697","M333Aa",90.1725859318031,79.4154082554791,"rf",30
"7698","M333Ab",136.272489371264,112.523482757723,"rf",30
"7699","M333Ac",79.5707972193894,72.0588242700207,"rf",30
"7700","M333Ad",132.361943531727,117.470592984026,"rf",30
"7701","M333Ae",75.0936684966662,68.4801681671984,"rf",30
"7702","M333Ag",85.1299662752969,81.2086165291663,"rf",30
"7703","M333Ah",35.2510245020239,37.3880839806109,"rf",30
"7704","M333Ai",38.4975059747907,37.3465107555587,"rf",30
"7705","M333Aa",86.0381375029542,79.4154082554791,"rf",30
"7706","M333Ab",127.878566142595,112.523482757723,"rf",30
"7707","M333Ac",79.2137649008795,72.0588242700207,"rf",30
"7708","M333Ad",121.732705030764,117.470592984026,"rf",30
"7709","M333Ae",76.4660255902654,68.4801681671984,"rf",30
"7710","M333Ag",85.5337978671882,81.2086165291663,"rf",30
"7711","M333Ah",47.1250943537387,37.3880839806109,"rf",30
"7712","M333Ai",48.0133946331877,37.3465107555587,"rf",30
"7713","M333Aa",81.601294685176,79.4154082554791,"rf",30
"7714","M333Ab",113.372325369133,112.523482757723,"rf",30
"7715","M333Ac",78.1767692075053,72.0588242700207,"rf",30
"7716","M333Ad",121.793166727221,117.470592984026,"rf",30
"7717","M333Ae",71.3287706783746,68.4801681671984,"rf",30
"7718","M333Ag",78.1008762515059,81.2086165291663,"rf",30
"7719","M333Ah",37.2432997449373,37.3880839806109,"rf",30
"7720","M333Ai",42.9224205025736,37.3465107555587,"rf",30
"7721","M333Aa",75.1708235543617,79.4154082554791,"rf",30
"7722","M333Ab",96.2902050287441,112.523482757723,"rf",30
"7723","M333Ac",71.944034922995,72.0588242700207,"rf",30
"7724","M333Ad",105.174883735037,117.470592984026,"rf",30
"7725","M333Ae",68.0912279558895,68.4801681671984,"rf",30
"7726","M333Ag",77.9727985447556,81.2086165291663,"rf",30
"7727","M333Ah",35.813337398379,37.3880839806109,"rf",30
"7728","M333Ai",38.9264324889784,37.3465107555587,"rf",30
"7729","M333Aa",84.2658606623182,79.4154082554791,"rf",30
"7730","M333Ab",111.814577500848,112.523482757723,"rf",30
"7731","M333Ac",83.5812270575579,72.0588242700207,"rf",30
"7732","M333Ad",123.203077589211,117.470592984026,"rf",30
"7733","M333Ae",76.0089908631257,68.4801681671984,"rf",30
"7734","M333Ag",84.1110323629615,81.2086165291663,"rf",30
"7735","M333Ah",40.7490888528134,37.3880839806109,"rf",30
"7736","M333Ai",44.2272235582655,37.3465107555587,"rf",30
"7737","M333Aa",79.5258723889016,79.4154082554791,"rf",30
"7738","M333Ab",111.134711250306,112.523482757723,"rf",30
"7739","M333Ac",71.2500255049122,72.0588242700207,"rf",30
"7740","M333Ad",111.202766745831,117.470592984026,"rf",30
"7741","M333Ae",68.8612797769527,68.4801681671984,"rf",30
"7742","M333Ag",79.1010156133676,81.2086165291663,"rf",30
"7743","M333Ah",35.6477503195185,37.3880839806109,"rf",30
"7744","M333Ai",37.5902807485072,37.3465107555587,"rf",30
"7745","M333Aa",77.343584942101,79.4154082554791,"rf",30
"7746","M333Ab",106.138243535452,112.523482757723,"rf",30
"7747","M333Ac",73.2719546330572,72.0588242700207,"rf",30
"7748","M333Ad",112.47722609103,117.470592984026,"rf",30
"7749","M333Ae",67.8979349724878,68.4801681671984,"rf",30
"7750","M333Ag",75.9878267381532,81.2086165291663,"rf",30
"7751","M333Ah",37.4519950353537,37.3880839806109,"rf",30
"7752","M333Ai",39.1306313327624,37.3465107555587,"rf",30
"7753","M333Aa",80.7131924489938,79.4154082554791,"rf",30
"7754","M333Ab",109.01557377647,112.523482757723,"rf",30
"7755","M333Ac",73.4355217898005,72.0588242700207,"rf",30
"7756","M333Ad",117.749820656752,117.470592984026,"rf",30
"7757","M333Ae",69.1094730434679,68.4801681671984,"rf",30
"7758","M333Ag",76.1451548483963,81.2086165291663,"rf",30
"7759","M333Ah",36.6635991280482,37.3880839806109,"rf",30
"7760","M333Ai",39.724255147089,37.3465107555587,"rf",30
"7761","M333Aa",84.2458244827496,79.4154082554791,"rf",30
"7762","M333Ab",124.961446112727,112.523482757723,"rf",30
"7763","M333Ac",75.856454878516,72.0588242700207,"rf",30
"7764","M333Ad",124.129931957052,117.470592984026,"rf",30
"7765","M333Ae",71.9830025359053,68.4801681671984,"rf",30
"7766","M333Ag",80.8844622591319,81.2086165291663,"rf",30
"7767","M333Ah",38.4534450008194,37.3880839806109,"rf",30
"7768","M333Ai",41.5723071718688,37.3465107555587,"rf",30
"7769","M333Aa",81.1393084903241,79.4154082554791,"rf",30
"7770","M333Ab",112.181214860941,112.523482757723,"rf",30
"7771","M333Ac",77.5015088785481,72.0588242700207,"rf",30
"7772","M333Ad",113.46722122317,117.470592984026,"rf",30
"7773","M333Ae",74.4259437398441,68.4801681671984,"rf",30
"7774","M333Ag",81.7949389085544,81.2086165291663,"rf",30
"7775","M333Ah",45.7800058673896,37.3880839806109,"rf",30
"7776","M333Ai",45.724495776767,37.3465107555587,"rf",30
"7777","M333Aa",85.4448822821518,79.4154082554791,"rf",30
"7778","M333Ab",122.753636791445,112.523482757723,"rf",30
"7779","M333Ac",76.0939613725874,72.0588242700207,"rf",30
"7780","M333Ad",124.68173629466,117.470592984026,"rf",30
"7781","M333Ae",72.8173497772248,68.4801681671984,"rf",30
"7782","M333Ag",84.1282535841948,81.2086165291663,"rf",30
"7783","M333Ah",35.4809469923369,37.3880839806109,"rf",30
"7784","M333Ai",39.2120243957335,37.3465107555587,"rf",30
"7785","M333Aa",80.287670403495,79.4154082554791,"rf",30
"7786","M333Ab",112.739395925754,112.523482757723,"rf",30
"7787","M333Ac",72.8200974415215,72.0588242700207,"rf",30
"7788","M333Ad",114.11371784797,117.470592984026,"rf",30
"7789","M333Ae",70.8273119488202,68.4801681671984,"rf",30
"7790","M333Ag",79.4581512860698,81.2086165291663,"rf",30
"7791","M333Ah",35.8962617890925,37.3880839806109,"rf",30
"7792","M333Ai",42.1648910381377,37.3465107555587,"rf",30
"7793","M333Aa",83.9127475023378,79.4154082554791,"rf",30
"7794","M333Ab",118.45940775873,112.523482757723,"rf",30
"7795","M333Ac",77.3571268151983,72.0588242700207,"rf",30
"7796","M333Ad",123.487696544423,117.470592984026,"rf",30
"7797","M333Ae",72.3102250981638,68.4801681671984,"rf",30
"7798","M333Ag",83.1385940979885,81.2086165291663,"rf",30
"7799","M333Ah",33.4727460024011,37.3880839806109,"rf",30
"7800","M333Ai",38.2223690394459,37.3465107555587,"rf",30
"7801","M333Aa",77.1370868161976,79.4154082554791,"rf",30
"7802","M333Ab",106.714946689488,112.523482757723,"rf",30
"7803","M333Ac",77.0449359570985,72.0588242700207,"rf",30
"7804","M333Ad",117.444189893199,117.470592984026,"rf",30
"7805","M333Ae",66.3673728002678,68.4801681671984,"rf",30
"7806","M333Ag",73.0205501621147,81.2086165291663,"rf",30
"7807","M333Ah",32.5580390004876,37.3880839806109,"rf",30
"7808","M333Ai",35.7905490395596,37.3465107555587,"rf",30
"7809","M333Aa",85.606283288988,79.4154082554791,"rf",30
"7810","M333Ab",124.296701860446,112.523482757723,"rf",30
"7811","M333Ac",73.9259087049909,72.0588242700207,"rf",30
"7812","M333Ad",122.610467425442,117.470592984026,"rf",30
"7813","M333Ae",73.6503159588111,68.4801681671984,"rf",30
"7814","M333Ag",80.6237241650295,81.2086165291663,"rf",30
"7815","M333Ah",41.2947481665179,37.3880839806109,"rf",30
"7816","M333Ai",47.0891151748111,37.3465107555587,"rf",30
"7817","M333Aa",82.2249042752577,79.4154082554791,"rf",30
