"","domain","BA_hat","BA","model","sample_size"
"1","M333Aa",84.7713592764702,79.4154082554791,"rf",50
"2","M333Ab",118.247516811002,112.523482757723,"rf",50
"3","M333Ac",77.6243733987208,72.0588242700207,"rf",50
"4","M333Ad",123.121170748911,117.470592984026,"rf",50
"5","M333Ae",73.1152359255934,68.4801681671984,"rf",50
"6","M333Ag",83.3162423537828,81.2086165291663,"rf",50
"7","M333Ah",35.5585709095522,37.3880839806109,"rf",50
"8","M333Ai",37.8839866257536,37.3465107555587,"rf",50
"9","M333Aa",82.2104029615276,79.4154082554791,"rf",50
"10","M333Ab",113.510230275088,112.523482757723,"rf",50
"11","M333Ac",77.8321966529951,72.0588242700207,"rf",50
"12","M333Ad",119.517688560824,117.470592984026,"rf",50
"13","M333Ae",72.5534425251059,68.4801681671984,"rf",50
"14","M333Ag",80.9092340549144,81.2086165291663,"rf",50
"15","M333Ah",40.5430726975353,37.3880839806109,"rf",50
"16","M333Ai",41.8200880716448,37.3465107555587,"rf",50
"17","M333Aa",79.8141188353806,79.4154082554791,"rf",50
"18","M333Ab",115.769142453855,112.523482757723,"rf",50
"19","M333Ac",71.6422105642932,72.0588242700207,"rf",50
"20","M333Ad",114.724432717935,117.470592984026,"rf",50
"21","M333Ae",68.337752562867,68.4801681671984,"rf",50
"22","M333Ag",75.3846157474215,81.2086165291663,"rf",50
"23","M333Ah",34.5204563037998,37.3880839806109,"rf",50
"24","M333Ai",36.799450451555,37.3465107555587,"rf",50
"25","M333Aa",80.6574950590048,79.4154082554791,"rf",50
"26","M333Ab",104.345309684715,112.523482757723,"rf",50
"27","M333Ac",75.4712467842545,72.0588242700207,"rf",50
"28","M333Ad",119.23154696833,117.470592984026,"rf",50
"29","M333Ae",68.8149482739679,68.4801681671984,"rf",50
"30","M333Ag",77.3686567503281,81.2086165291663,"rf",50
"31","M333Ah",38.7451055086936,37.3880839806109,"rf",50
"32","M333Ai",40.2427119342729,37.3465107555587,"rf",50
"33","M333Aa",78.1898214912695,79.4154082554791,"rf",50
"34","M333Ab",114.359349463324,112.523482757723,"rf",50
"35","M333Ac",68.9942668282513,72.0588242700207,"rf",50
"36","M333Ad",114.076782303928,117.470592984026,"rf",50
"37","M333Ae",66.094445529557,68.4801681671984,"rf",50
"38","M333Ag",73.6314421727314,81.2086165291663,"rf",50
"39","M333Ah",34.809683365055,37.3880839806109,"rf",50
"40","M333Ai",38.0346299381757,37.3465107555587,"rf",50
"41","M333Aa",76.5567366202154,79.4154082554791,"rf",50
"42","M333Ab",110.862439587678,112.523482757723,"rf",50
"43","M333Ac",68.6674869210713,72.0588242700207,"rf",50
"44","M333Ad",111.878730104516,117.470592984026,"rf",50
"45","M333Ae",64.8850775955399,68.4801681671984,"rf",50
"46","M333Ag",73.6981724288691,81.2086165291663,"rf",50
"47","M333Ah",33.7723426142302,37.3880839806109,"rf",50
"48","M333Ai",35.0462760444243,37.3465107555587,"rf",50
"49","M333Aa",80.3840932177937,79.4154082554791,"rf",50
"50","M333Ab",111.118919653664,112.523482757723,"rf",50
"51","M333Ac",77.9873907947973,72.0588242700207,"rf",50
"52","M333Ad",117.038029058392,117.470592984026,"rf",50
"53","M333Ae",70.9866593133498,68.4801681671984,"rf",50
"54","M333Ag",79.6301791865819,81.2086165291663,"rf",50
"55","M333Ah",36.5770337257017,37.3880839806109,"rf",50
"56","M333Ai",41.289830958834,37.3465107555587,"rf",50
"57","M333Aa",80.7972575165564,79.4154082554791,"rf",50
"58","M333Ab",113.895816963858,112.523482757723,"rf",50
"59","M333Ac",75.1093557417425,72.0588242700207,"rf",50
"60","M333Ad",116.33933173098,117.470592984026,"rf",50
"61","M333Ae",69.4405696584696,68.4801681671984,"rf",50
"62","M333Ag",78.5798191303897,81.2086165291663,"rf",50
"63","M333Ah",36.0272003630505,37.3880839806109,"rf",50
"64","M333Ai",37.6953772961944,37.3465107555587,"rf",50
"65","M333Aa",81.3253373005727,79.4154082554791,"rf",50
"66","M333Ab",112.536112246636,112.523482757723,"rf",50
"67","M333Ac",75.1418413527845,72.0588242700207,"rf",50
"68","M333Ad",116.036032610845,117.470592984026,"rf",50
"69","M333Ae",71.8862840350267,68.4801681671984,"rf",50
"70","M333Ag",80.3674045764257,81.2086165291663,"rf",50
"71","M333Ah",39.7400143959159,37.3880839806109,"rf",50
"72","M333Ai",41.7834574356425,37.3465107555587,"rf",50
"73","M333Aa",77.993597525635,79.4154082554791,"rf",50
"74","M333Ab",109.677709560317,112.523482757723,"rf",50
"75","M333Ac",71.3694208650191,72.0588242700207,"rf",50
"76","M333Ad",111.070080321258,117.470592984026,"rf",50
"77","M333Ae",68.2884781975565,68.4801681671984,"rf",50
"78","M333Ag",77.5140796553501,81.2086165291663,"rf",50
"79","M333Ah",36.2276009645429,37.3880839806109,"rf",50
"80","M333Ai",39.1415492016878,37.3465107555587,"rf",50
"81","M333Aa",90.3563714051495,79.4154082554791,"rf",50
"82","M333Ab",121.59549053648,112.523482757723,"rf",50
"83","M333Ac",82.480850657338,72.0588242700207,"rf",50
"84","M333Ad",127.083929635339,117.470592984026,"rf",50
"85","M333Ae",79.1749970476482,68.4801681671984,"rf",50
"86","M333Ag",87.5112285153315,81.2086165291663,"rf",50
"87","M333Ah",48.371346865016,37.3880839806109,"rf",50
"88","M333Ai",47.962675955441,37.3465107555587,"rf",50
"89","M333Aa",76.8593716293682,79.4154082554791,"rf",50
"90","M333Ab",105.485110524613,112.523482757723,"rf",50
"91","M333Ac",76.4847053688292,72.0588242700207,"rf",50
"92","M333Ad",114.308464785277,117.470592984026,"rf",50
"93","M333Ae",68.1380469524179,68.4801681671984,"rf",50
"94","M333Ag",76.9088987786953,81.2086165291663,"rf",50
"95","M333Ah",36.1394176557732,37.3880839806109,"rf",50
"96","M333Ai",38.9077201582291,37.3465107555587,"rf",50
"97","M333Aa",77.9050970963544,79.4154082554791,"rf",50
"98","M333Ab",103.592494868394,112.523482757723,"rf",50
"99","M333Ac",74.9151077764057,72.0588242700207,"rf",50
"100","M333Ad",112.8531397035,117.470592984026,"rf",50
"101","M333Ae",69.1837232136908,68.4801681671984,"rf",50
"102","M333Ag",76.8569162608567,81.2086165291663,"rf",50
"103","M333Ah",38.5069063566932,37.3880839806109,"rf",50
"104","M333Ai",42.2892791422555,37.3465107555587,"rf",50
"105","M333Aa",78.4329903532139,79.4154082554791,"rf",50
"106","M333Ab",104.691961966568,112.523482757723,"rf",50
"107","M333Ac",75.5260932665498,72.0588242700207,"rf",50
"108","M333Ad",111.206132565598,117.470592984026,"rf",50
"109","M333Ae",71.0309107898099,68.4801681671984,"rf",50
"110","M333Ag",78.6144557611119,81.2086165291663,"rf",50
"111","M333Ah",38.5658454510528,37.3880839806109,"rf",50
"112","M333Ai",43.0942339140184,37.3465107555587,"rf",50
"113","M333Aa",80.8874760733895,79.4154082554791,"rf",50
"114","M333Ab",109.971248920589,112.523482757723,"rf",50
"115","M333Ac",73.7127402473983,72.0588242700207,"rf",50
"116","M333Ad",118.791970065642,117.470592984026,"rf",50
"117","M333Ae",69.2203477996341,68.4801681671984,"rf",50
"118","M333Ag",77.9036662684406,81.2086165291663,"rf",50
"119","M333Ah",34.2785237064588,37.3880839806109,"rf",50
"120","M333Ai",36.6693756151275,37.3465107555587,"rf",50
"121","M333Aa",74.7557488237744,79.4154082554791,"rf",50
"122","M333Ab",95.0982218914277,112.523482757723,"rf",50
